"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"Ik",3987.49240084666,0.0476544631708847,0.121858102555564,0.391065199371175,0.695749043270495,0.999829069205013,"Ik"
"Ikbip",1741.15596444514,-0.172306939375597,0.195631271422896,-0.880774009811148,0.378440149619089,0.974979859025321,"Ikbip"
"Ikbkb",3235.83187231671,0.210467265395355,0.116525321717399,1.80619338606751,0.0708881376755297,0.871722684025977,"Ikbkb"
"Ikbke",3025.21459393938,0.173229891877495,0.240140006547341,0.721370397078524,0.470681655011127,0.992350561402483,"Ikbke"
"Ikbkg",2114.67885588109,0.211582975588827,0.185478862580804,1.14073901815443,0.253978544334288,0.951082264845228,"Ikbkg"
"Ikzf1",2052.08640160187,0.255480988760053,0.166686929505278,1.53269959149354,0.125349889886808,0.90534102282038,"Ikzf1"
"Ikzf2",189.836342824164,0.0124244211930366,0.305531479527137,0.0406649462512523,0.967563007306358,0.999829069205013,"Ikzf2"
"Ikzf3",82.7200257750919,-0.246474457623947,0.458701807440865,-0.537330469655326,0.591039362063227,0.999829069205013,"Ikzf3"
"Ikzf4",24.342688926658,-0.241365331174975,0.47649897824994,-0.506539031964872,0.61247829610671,0.999829069205013,"Ikzf4"
"Ikzf5",636.588247649646,0.277274544406672,0.150326544427523,1.84448159480148,0.065112985696449,0.871722684025977,"Ikzf5"
"Il10",142.211262201424,0.388925323314742,0.474410743630224,0.819807157693477,0.412326050001012,0.981070695377742,"Il10"
"Il10ra",3081.71369844176,0.123044705133358,0.197697329518842,0.622389313162829,0.533685905852659,0.999829069205013,"Il10ra"
"Il10rb",6964.53351692032,0.0413828480739826,0.172748939793899,0.23955485992189,0.810675362407801,0.999829069205013,"Il10rb"
"Il11",30.0066986474525,0.719250923399251,0.743871764109523,0.966901767349987,0.333593143054797,0.972126934721779,"Il11"
"Il11ra1",2847.19340295327,-0.0173364299699799,0.266204966273184,-0.0651243671847543,0.94807497940366,0.999829069205013,"Il11ra1"
"Il11ra2",1.42272343130421,0.338618756927623,1.92111676321711,0.176261413887499,0.860088574638297,0.999829069205013,"Il11ra2"
"Il12a",3.88216213891937,0.139540026806848,1.85815608761501,0.0750959662306689,0.940138357245794,0.999829069205013,"Il12a"
"Il12b",36.6228354087555,1.69586310608297,0.547655298830495,3.09658851051829,0.00195761409942726,0.477893176823027,"Il12b"
"Il12rb1",49.9475485918936,0.124576566460902,0.509522557034433,0.244496666027845,0.806846183762375,0.999829069205013,"Il12rb1"
"Il12rb2",50.2524029525643,-0.0231521253233826,0.505380511356717,-0.0458112744815379,0.96346067250982,0.999829069205013,"Il12rb2"
"Il13",0.478088295948695,-1.52955566659977,6.10947544385007,-0.250357936725886,0.802310555585082,0.999829069205013,"Il13"
"Il13ra1",3914.6855680898,0.379980171499007,0.274416007610496,1.38468661069637,0.166148314958229,0.924895406897607,"Il13ra1"
"Il13ra2",82.272355251946,0.331260790337895,0.854334198305801,0.387741461122364,0.698207369952909,0.999829069205013,"Il13ra2"
"Il15",317.434153619168,-0.205213602359714,0.272417410036828,-0.753305753593248,0.451266202161852,0.988763743781369,"Il15"
"Il15ra",490.252482001477,0.172814250149513,0.264884655755493,0.652413216071801,0.51413464086842,0.998499461675996,"Il15ra"
"Il16",667.229647288859,0.130490103220136,0.275639019465415,0.473409401445463,0.635921123781144,0.999829069205013,"Il16"
"Il17a",1.36413415461452,-1.23297046095419,2.26769263805529,-0.543711453776008,0.586640049347262,0.999829069205013,"Il17a"
"Il17b",0.108734745800489,0.988588985858021,6.13593715639234,0.16111458782268,0.872003150923966,0.999829069205013,"Il17b"
"Il17c",5.45500564195338,0.88848554466678,1.91267204658114,0.46452581677812,0.642271067358418,0.999829069205013,"Il17c"
"Il17d",8.31097808981352,0.0848134591865631,0.743694774956216,0.114043371074587,0.90920341255379,0.999829069205013,"Il17d"
"Il17f",1.05101804909626,0.0607021360214965,3.24025195534165,0.0187337703543168,0.98505348813051,0.999829069205013,"Il17f"
"Il17ra",2138.35230597195,0.121325514091037,0.260554137302791,0.465644166494445,0.641470223502292,0.999829069205013,"Il17ra"
"Il17rb",13.1350121321815,-0.418615734434425,1.32022930781488,-0.317078049969425,0.751184379783864,0.999829069205013,"Il17rb"
"Il17rc",233.140983643371,-0.539162698515878,0.363697503526171,-1.48244816994484,0.138221084916833,0.909323823784213,"Il17rc"
"Il17rd",147.224484765196,0.229932734326155,0.323996220086431,0.709677212483581,0.477904326293883,0.993245818919809,"Il17rd"
"Il17re",10.7945857405298,0.312583817356066,1.77785810677817,0.1758204528046,0.860435000924774,0.999829069205013,"Il17re"
"Il18",230.959817146857,0.430924538362003,0.317981291565286,1.35518833903953,0.175357558965584,0.92673461616995,"Il18"
"Il18bp",437.533965247246,0.140591358822738,0.391096706241997,0.359479782311807,0.719236199798614,0.999829069205013,"Il18bp"
"Il18r1",116.147872791021,0.185220112238327,0.506872395108179,0.365417635732158,0.714799678717874,0.999829069205013,"Il18r1"
"Il18rap",728.161262609025,0.346400557087001,0.451436469868716,0.767329580589133,0.442885585293493,0.985338363665899,"Il18rap"
"Il19",5.06167200863583,-0.594917523925175,1.593984652425,-0.373226632402076,0.708979776142609,0.999829069205013,"Il19"
"Il1a",366.856044817462,0.0681038236759562,0.729183231544093,0.0933974078528135,0.925587849751994,0.999829069205013,"Il1a"
"Il1b",6850.8796373751,-0.0104392619437857,0.716620172025424,-0.0145673570899919,0.988377341757616,0.999829069205013,"Il1b"
"Il1bos",51.0018509245681,0.162855924439866,0.708456195803092,0.229874373891608,0.818189389794386,0.999829069205013,"Il1bos"
"Il1f10",0.338571617165247,-0.167936938858035,5.45736860935298,-0.0307725116038928,0.975450962596738,0.999829069205013,"Il1f10"
"Il1f5",53.2996371709863,-3.76948034624505,3.10324024604025,-1.21469175680321,NA,NA,"Il1f5"
"Il1f6",8.1702219231571,-6.01615927183345,3.03527853746017,-1.98207815117607,NA,NA,"Il1f6"
"Il1f8",12.0675803624677,-4.25004865042112,2.90089677080693,-1.46508096847545,NA,NA,"Il1f8"
"Il1f9",1792.70847642933,0.110665399335098,0.755977784497841,0.146387105024002,0.883615806352394,0.999829069205013,"Il1f9"
"Il1r1",3466.7575496779,-0.371944008692461,0.249063894868463,-1.49336783193282,0.13534092855526,0.908491282603768,"Il1r1"
"Il1r2",1106.37194785523,0.239981105755789,0.671299561357877,0.357487356718012,0.720726989612938,0.999829069205013,"Il1r2"
"Il1rap",1378.94419030557,0.198151947947988,0.467249589927615,0.424081587698525,0.671506312959845,0.999829069205013,"Il1rap"
"Il1rapl1",4.1650316693689,-1.77052404245464,1.65506395709979,-1.06976170610179,0.284726583205032,0.959589525241715,"Il1rapl1"
"Il1rl1",1662.05570777738,0.579841865624685,0.49668404558716,1.16742599400232,0.243038378770023,0.951082264845228,"Il1rl1"
"Il1rl2",1001.05137397322,0.0251696126019575,0.211497197218566,0.11900683759864,0.905269938661769,0.999829069205013,"Il1rl2"
"Il1rn",24365.0424758157,0.060182032675383,0.272795640107545,0.220612150002314,0.825394439810635,0.999829069205013,"Il1rn"
"Il2",0.503785607383527,2.26755105014849,3.05328180337443,0.742660257445752,0.457687396823275,0.991347427255885,"Il2"
"Il20ra",7.71539030667819,-1.51706618674522,1.11836882651072,-1.35649899280403,0.174940455615621,0.92673461616995,"Il20ra"
"Il20rb",173.722885255479,-0.00715309437579626,0.32272813449412,-0.0221644585992133,0.982316768550538,0.999829069205013,"Il20rb"
"Il21",0.382840441633107,3.23523474256582,6.10145138878913,0.530240189819471,0.595945409275916,0.999829069205013,"Il21"
"Il21r",566.467861973545,0.23407351893311,0.330482419231096,0.708278278395892,0.47877246347481,0.993245818919809,"Il21r"
"Il22",0.561859414127602,2.35952045368826,6.08737597866132,0.387608792681662,0.698305561067981,0.999829069205013,"Il22"
"Il22ra1",2.55440065896062,-3.69697767561672,2.73756863416976,-1.35046026955154,0.176868389615027,0.92673461616995,"Il22ra1"
"Il22ra2",8.38366857442415,-3.33023345260449,1.26433178982029,-2.63398696403722,0.00843887278441928,0.649607637230252,"Il22ra2"
"Il23a",18.2861059557991,-0.306300559037773,1.26660544812246,-0.241827918466493,0.808913505043527,0.999829069205013,"Il23a"
"Il23r",6.919850544072,1.86663006952464,1.21717571660128,1.53357485206559,0.12513427897293,0.90534102282038,"Il23r"
"Il24",23.4279957480217,-4.284941743135,3.29886224103399,-1.29891502889552,0.193973091409941,0.934811973795555,"Il24"
"Il25",0.360258074603891,-0.889467643918485,5.34628008636438,-0.166371314175451,0.867864747295656,0.999829069205013,"Il25"
"Il27",16.762534989793,0.35696715781429,0.57477931911284,0.621050803228726,0.534566197236731,0.999829069205013,"Il27"
"Il27ra",247.694942475817,0.0984047758136384,0.282949416049674,0.347782219124151,0.728003744154919,0.999829069205013,"Il27ra"
"Il2ra",123.671465544332,0.428403130174694,0.404337540779923,1.05951856300147,0.289363679809743,0.959688313558579,"Il2ra"
"Il2rb",385.806255573184,-0.0606002763286508,0.45824569712896,-0.132244070611746,0.894791243895139,0.999829069205013,"Il2rb"
"Il2rg",4308.11958852198,0.0456790966703473,0.198761269348867,0.229818901941963,0.818232496190592,0.999829069205013,"Il2rg"
"Il31ra",11.7312891913815,-0.827289410459628,0.64804638934095,-1.27658979984591,0.201747104872051,0.936566754847118,"Il31ra"
"Il33",2627.84912671436,0.957060491696255,0.463088199925448,2.06669159751929,0.0387632234299849,0.829175710737289,"Il33"
"Il34",101.957223318451,0.021497322843118,0.417562581714979,0.051482876542304,0.958940746295322,0.999829069205013,"Il34"
"Il3ra",1160.99781025171,-0.155734119125656,0.214598452326411,-0.7257001037863,0.468022638157295,0.991496412816535,"Il3ra"
"Il4",0.524024053787297,0.736170975859054,3.71136780248856,0.198355704698799,0.842766771346869,0.999829069205013,"Il4"
"Il4i1",249.197503542773,0.757840572054493,0.427886348816739,1.77112584720265,0.0765397767110833,0.871722684025977,"Il4i1"
"Il4ra",10001.5630092362,0.197014731079926,0.28296974314507,0.696239565722481,0.486278813281621,0.995145005420181,"Il4ra"
"Il5",0.533674528440469,-1.63835081723994,4.22797850563548,-0.387502163281147,0.698384483721114,0.999829069205013,"Il5"
"Il5ra",1.09491902654084,3.1586466215466,2.88347029302569,1.09543234386235,0.273327270668094,0.955144450732421,"Il5ra"
"Il6",86.9754948664086,0.0958889259452243,0.460272525747721,0.208330761844738,0.834970714064354,0.999829069205013,"Il6"
"Il6ra",2504.06228629229,0.294041968379858,0.143156947875519,2.0539832173255,0.0399773160718149,0.829175710737289,"Il6ra"
"Il6st",9497.086123275,0.0335235525571712,0.165524234586858,0.202529573031071,0.839502741477154,0.999829069205013,"Il6st"
"Il7",51.5596224424734,0.0178057450586856,0.481678174657318,0.0369660615645563,0.970512066183193,0.999829069205013,"Il7"
"Il7r",10683.9094505291,0.358421981266302,0.308019275795872,1.16363490674471,0.24457199899406,0.951082264845228,"Il7r"
"Il9r",24.1776023857206,-0.388142595393663,0.744034384601619,-0.52167292725522,0.601898077411664,0.999829069205013,"Il9r"
"Ildr1",6.98350343002156,0.901482685906808,0.863428036577688,1.04407390971453,0.296451195763556,0.961697871180513,"Ildr1"
"Ildr2",69.9023508492362,0.851697833924035,0.719936714711683,1.18301764102296,0.236802156016045,0.951082264845228,"Ildr2"
"Ilf2",1140.96503396068,-0.14185558334369,0.104662299476846,-1.35536467336141,0.175301399053534,0.92673461616995,"Ilf2"
"Ilf3",1783.06149147203,-0.0562519327885614,0.11893447842913,-0.47296573316274,0.63623762673559,0.999829069205013,"Ilf3"
"Ilk",4984.3013489807,-0.0353039739483474,0.11851811372226,-0.297878297583104,0.7657960524753,0.999829069205013,"Ilk"
"Ilkap",1128.39453585338,-0.0846135438456504,0.117553740393006,-0.719786061785617,0.471656728000895,0.992404312191167,"Ilkap"
"Ilrun",5065.45820870201,0.174320649059345,0.126271446248337,1.38052310509306,0.167425640691857,0.924895406897607,"Ilrun"
"Ilvbl",917.641107921071,-0.00301969892471662,0.119172589684334,-0.02533887140252,0.9797846689801,0.999829069205013,"Ilvbl"
